Batting,,R,B,M,4s,6s,SR
Pathum Nissanka,c Smit b Shikongo,9,10,16,1,0,90.00
Kusal Mendis †,c †Green b Wiese,6,6,8,0,0,100.00
Dhananjaya de Silva,c Shikongo b Frylinck,12,11,25,1,0,109.09
Danushka Gunathilaka,c †Green b Shikongo,0,1,2,0,0,0.00
Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,39,2,0,95.23
Dasun Shanaka (c),c †Green b Frylinck,29,23,37,2,1,126.08
Wanindu Hasaranga,c Loftie-Eaton b Scholtz,4,8,9,0,0,50.00
Chamika Karunaratne,c Baard b Smit,5,8,15,0,0,62.50
Pramod Madushan,run out (van Lingen/†Green),0,0,4,0,0,-
Dushmantha Chameera,c Erasmus b Wiese,8,15,20,0,0,53.33
Maheesh Theekshana,not out,11,11,14,0,1,100.00
